  Label Area XM YM XStart YStart
1 tetra.tif:1 7 34.643 29.214 33 28
2 tetra.tif:2 12 33.750 28.917 32 27
3 tetra.tif:3 11 33.045 28.682 31 27
4 tetra.tif:4 9 32.500 28.500 31 27
5 tetra.tif:5 11 31.591 27.864 30 26
6 tetra.tif:6 12 31.000 27.500 30 25
7 tetra.tif:7 9 30.389 26.833 29 25
8 tetra.tif:8 11 29.591 25.864 28 24
9 tetra.tif:9 10 29.300 25.000 28 23
10 tetra.tif:10 9 28.611 24.167 28 22
11 tetra.tif:11 7 28.643 23.929 28 22
12 tetra.tif:12 11 28.409 23.136 27 21
13 tetra.tif:13 6 28.000 22.500 27 21
14 tetra.tif:14 6 28.000 21.500 27 20
15 tetra.tif:15 11 27.591 20.864 26 19
16 tetra.tif:16 11 27.591 20.136 27 18
17 tetra.tif:17 12 27.417 19.667 27 17
18 tetra.tif:18 10 27.300 19.000 26 17
19 tetra.tif:19 8 27.375 18.375 26 17
20 tetra.tif:20 11 27.409 17.864 26 16
21 tetra.tif:21 7 27.500 17.500 27 16
22 tetra.tif:22 12 27.417 16.667 27 14
23 tetra.tif:23 11 27.409 15.864 26 14
24 tetra.tif:24 7 27.500 15.500 27 14
25 tetra.tif:25 6 27.833 14.833 28 13
26 tetra.tif:26 11 28.045 14.318 28 12
27 tetra.tif:27 8 28.375 13.375 27 12
28 tetra.tif:28 11 28.682 12.955 28 11
29 tetra.tif:29 9 29.056 12.611 29 11
30 tetra.tif:30 13 29.423 11.885 28 10
31 tetra.tif:31 10 30.000 11.500 29 10
32 tetra.tif:32 7 30.643 10.786 31 9
33 tetra.tif:33 9 31.167 10.389 30 9
34 tetra.tif:34 5 31.700 10.100 31 9
35 tetra.tif:35 11 32.136 9.591 31 8
36 tetra.tif:36 12 32.667 9.417 31 8
37 tetra.tif:37 9 33.167 9.389 32 8
38 tetra.tif:38 6 33.500 9.000 32 8
39 tetra.tif:39 12 34.333 8.583 33 7
40 tetra.tif:40 8 35.250 8.500 35 7
41 tetra.tif:41 10 36.000 8.300 34 7
42 tetra.tif:42 7 36.214 8.071 35 7
43 tetra.tif:43 7 36.786 7.929 35 7
44 tetra.tif:44 6 37.500 8.000 36 7
45 tetra.tif:45 8 38.250 7.750 38 6
46 tetra.tif:46 9 39.167 7.389 38 6
47 tetra.tif:47 9 39.833 7.389 38 6
48 tetra.tif:48 6 40.500 7.000 39 6
49 tetra.tif:49 7 41.214 6.929 39 6
50 tetra.tif:50 13 41.500 6.500 39 5
51 tetra.tif:51 9 41.833 6.389 40 5
52 tetra.tif:52 9 42.500 6.500 41 5
53 tetra.tif:53 8 42.625 6.375 41 5
54 tetra.tif:54 10 43.000 6.500 41 5
55 tetra.tif:55 7 43.500 6.500 42 5
56 tetra.tif:56 9 43.833 6.500 42 5
57 tetra.tif:57 8 44.375 6.625 43 5
58 tetra.tif:58 10 45.000 7.500 43 6
59 tetra.tif:59 8 45.375 7.625 44 6
60 tetra.tif:60 14 46.000 8.000 44 6
61 tetra.tif:61 10 46.400 8.300 45 6
62 tetra.tif:62 11 47.045 8.682 45 7
63 tetra.tif:63 10 47.500 9.000 46 7
64 tetra.tif:64 9 48.167 9.500 46 8
65 tetra.tif:65 10 48.500 10.000 47 8
66 tetra.tif:66 8 49.375 10.625 48 9
67 tetra.tif:67 11 49.409 11.136 48 9
68 tetra.tif:68 11 49.591 11.864 48 10
69 tetra.tif:69 6 50.000 12.500 49 11
70 tetra.tif:70 8 50.250 13.250 50 11
71 tetra.tif:71 11 50.591 14.136 50 12
72 tetra.tif:72 10 50.700 15.000 50 13
73 tetra.tif:73 10 50.500 16.000 50 14
74 tetra.tif:74 10 50.500 17.000 50 15
75 tetra.tif:75 9 50.611 17.833 50 16
76 tetra.tif:76 10 50.500 18.000 50 16
